start,end,eventtype,operationtype,time,ref.size
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",FileEvent,Read,2021-10-09 16:24:09.373,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",103.254.188.158,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:11.889,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",103.254.188.158,IpChannelEvent,TcpIpSend,2021-10-09 16:24:11.898,1077
103.254.188.158,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:11.898,5471
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",52.84.228.18,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.862,0
52.84.228.18,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.929,53248
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",52.84.228.18,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.929,1905
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",FileEvent,Read,2021-10-09 16:24:09.973,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",FileEvent,Read,2021-10-09 16:24:10.882,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",FileEvent,Read,2021-10-09 16:24:11.752,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://trimurl.co/QgKlGE?B4ZOR9YVWPBZXTIA3J6RXZKV
PID:2808",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.176,0
