start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",39.107.233.151,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:21.41,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",39.107.233.151,IpChannelEvent,TcpIpSend,2021-10-09 16:24:21.195,532
39.107.233.151,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:21.421,382
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:15.603,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:16.199,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:17.305,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:17.775,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",125.220.192.143,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:17.382,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",125.220.192.143,IpChannelEvent,TcpIpSend,2021-10-09 16:24:17.391,1075
125.220.192.143,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:17.435,5391
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:17.303,46359
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:15.944,284
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:15.866,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:16.192,3014656
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:17.305,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:17.307,176
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,FileEvent,Write,2021-10-09 16:24:26.602,8192
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:23.196,37064
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:18.445,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:30.429,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:18.443,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:16.191,2277
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://sv5lha.cn/smbc/smbcupdatebill.php
PID:1932",FileEvent,Read,2021-10-09 16:24:15.840,512
