start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",35.244.247.133,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.614,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",35.244.247.133,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.667,3651
35.244.247.133,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.667,4155
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",FileEvent,Read,2021-10-09 16:24:10.34,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",FileEvent,Read,2021-10-09 16:24:12.367,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",FileEvent,Read,2021-10-09 16:24:12.574,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",FileEvent,Read,2021-10-09 16:24:13.118,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",FileEvent,Read,2021-10-09 16:24:12.569,46359
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.200,0
111.206.176.78,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://admin-rebelutions-10000012345986958174272.ga/checkpoint_next.php
PID:4076",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.207,12539
