start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:28.586,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:20.730,229
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",FileEvent,Read,2021-10-09 16:24:20.730,32997
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\mozstd-trackwhite-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:28.584,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\mozstd-trackwhite-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:19.908,309221
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",FileEvent,Read,2021-10-09 16:24:08.851,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",FileEvent,Read,2021-10-09 16:24:09.941,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",FileEvent,Read,2021-10-09 16:24:20.728,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",FileEvent,Read,2021-10-09 16:24:12.371,142
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:13.635,8
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",FileEvent,Read,2021-10-09 16:24:12.676,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-malware-proto.vlpset,FileEvent,Delete,2021-10-09 16:24:28.580,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-malware-proto.vlpset,FileEvent,Write,2021-10-09 16:24:19.901,131104
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",113.142.81.208,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:09.834,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",113.142.81.208,IpChannelEvent,TcpIpSend,2021-10-09 16:24:09.913,602
113.142.81.208,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:09.913,3666
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",113.142.81.208,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.661,657
113.142.81.208,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://bancaporinternet-ibk.1pe.sbs/
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.1,774
