start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",35.244.247.133,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:11.636,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",35.244.247.133,IpChannelEvent,TcpIpSend,2021-10-09 16:24:11.691,3597
35.244.247.133,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:11.691,4155
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",FileEvent,Read,2021-10-09 16:24:09.123,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",103.254.188.158,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.641,0
103.254.188.158,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.675,5471
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",103.254.188.158,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.675,1077
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",162.241.41.113,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:10.291,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",162.241.41.113,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:16.34,0
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://crissallesterapias.com.br/w-sec01bs/auth.php?fIlSqCBYkuXPcxTJEoKH=&md=fIlSqCBYkuXPcxTJEoKH
PID:3680",FileEvent,Read,2021-10-09 16:24:09.706,453
