start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:31.654,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:22.880,229
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:22.880,32997
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\mozstd-trackwhite-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:31.651,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\mozstd-trackwhite-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:22.544,309221
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:09.618,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:10.321,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:22.878,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:12.517,142
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:12.850,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:18.132,8
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-malware-proto.vlpset,FileEvent,Delete,2021-10-09 16:24:31.645,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-malware-proto.vlpset,FileEvent,Write,2021-10-09 16:24:22.540,131104
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",52.84.228.18,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.522,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",52.84.228.18,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.560,3008
52.84.228.18,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.614,78564
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",115.157.63.19,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:17.722,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",115.157.63.19,IpChannelEvent,TcpIpSend,2021-10-09 16:24:17.752,1187
115.157.63.19,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:17.752,13869
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",52.84.228.14,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:20.307,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",52.84.228.14,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:20.687,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",52.84.228.14,IpChannelEvent,TcpIpSend,2021-10-09 16:24:20.342,1063
52.84.228.14,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:20.409,4489
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",117.18.237.29,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:26.834,0
117.18.237.29,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:26.902,798
"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",117.18.237.29,IpChannelEvent,TcpIpSend,2021-10-09 16:24:26.902,456
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" template.net
PID:3756",FileEvent,Read,2021-10-09 16:24:12.516,92718
