start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",13.227.254.104,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:14.439,0
13.227.254.104,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:14.509,5117
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",13.227.254.104,IpChannelEvent,TcpIpSend,2021-10-09 16:24:14.509,1080
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:09.228,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",203.208.41.34,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:16.134,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",203.208.41.34,IpChannelEvent,TcpIpSend,2021-10-09 16:24:16.141,917
203.208.41.34,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:16.203,1403
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.257,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.526,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:14.35,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\D864AC106D7D35ED9E978886DFC9CBF2F67F6404,FileEvent,Write,2021-10-09 16:24:15.958,48537
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",121.194.10.91,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.154,0
121.194.10.91,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.158,2189
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",121.194.10.91,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.158,478
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\1AFE56A29B91825BA1CD75E046C7489414310A1A,FileEvent,Write,2021-10-09 16:24:20.697,27247
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.524,46359
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",182.61.200.166,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:16.438,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",182.61.200.166,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:26.992,0
182.61.200.166,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:16.445,18301
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",182.61.200.166,IpChannelEvent,TcpIpSend,2021-10-09 16:24:16.445,1884
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:11.892,284
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\doomed\250,FileEvent,Delete,2021-10-09 16:24:17.59,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:11.855,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.247,3014656
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.527,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.530,176
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:19.67,37064
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,FileEvent,Write,2021-10-09 16:24:22.743,8192
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",114.55.237.175,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.673,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",114.55.237.175,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:16.214,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",114.55.237.175,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.730,868
114.55.237.175,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.730,3241
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:14.978,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:26.984,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:14.977,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.246,2277
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:11.836,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\analytics-track-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.524,559
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:13.493,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:26.391,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.492,65536
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\ls-archive.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:11.835,65684
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite-wal,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:15.89,262144
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite-wal,FileEvent,Write,2021-10-09 16:24:12.97,954880
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\ads-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.246,55877
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\analytics-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:13.246,10021
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\prefs.js,"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",FileEvent,Read,2021-10-09 16:24:09.327,20224
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\sessionCheckpoints.json.tmp,FileEvent,Write,2021-10-09 16:24:11.817,143
"""C:\Program Files\Mozilla Firefox\firefox.exe"" xitek.com
PID:2396",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\8A9D0A16AFD79F4A8AB4DB0FCE84393F27B0938C,FileEvent,Write,2021-10-09 16:24:20.965,65959
