start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",35.244.247.133,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:09.515,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",35.244.247.133,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:09.983,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",35.244.247.133,IpChannelEvent,TcpIpSend,2021-10-09 16:24:09.571,529
35.244.247.133,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:09.571,3733
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",202.173.15.148,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:10.595,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",202.173.15.148,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:11.539,0
202.173.15.148,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:10.606,3155
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",202.173.15.148,IpChannelEvent,TcpIpSend,2021-10-09 16:24:10.606,674
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",FileEvent,Read,2021-10-09 16:24:07.872,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",121.194.10.91,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:11.846,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",121.194.10.91,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:18.109,0
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",FileEvent,Read,2021-10-09 16:24:08.492,453
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cdstm.cn
PID:2840",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\1293F6FD0106F319142935DCEA2FC632C3D28EE1,FileEvent,Write,2021-10-09 16:24:10.257,26151
