start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",35.244.247.133,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.197,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",35.244.247.133,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.259,3635
35.244.247.133,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.259,4155
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",FileEvent,Read,2021-10-09 16:24:08.961,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",103.254.188.158,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.812,0
103.254.188.158,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.820,5470
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",103.254.188.158,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.820,1077
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",FileEvent,Read,2021-10-09 16:24:11.725,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",FileEvent,Read,2021-10-09 16:24:12.179,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",FileEvent,Read,2021-10-09 16:24:12.616,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:13.172,8
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\D864AC106D7D35ED9E978886DFC9CBF2F67F6404,FileEvent,Write,2021-10-09 16:24:13.825,48537
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",35.166.102.22,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.467,0
35.166.102.22,"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.679,3801
"""C:\Program Files\Mozilla Firefox\firefox.exe"" cam4.com
PID:3484",35.166.102.22,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.602,1456
