start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.16.18.94,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:16.472,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.16.18.94,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:31.754,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.16.18.94,IpChannelEvent,TcpIpSend,2021-10-09 16:24:16.636,517
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",39.107.233.151,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.212,0
39.107.233.151,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.218,382
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",39.107.233.151,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.218,532
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:09.786,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:10.418,453
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.6.129,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:14.724,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.6.129,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:15.547,0
104.22.6.129,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:14.998,2972
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.6.129,IpChannelEvent,TcpIpSend,2021-10-09 16:24:14.833,792
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:12.920,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:13.313,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:18.901,8
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.366,0
111.206.176.78,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.375,11436
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",111.206.176.78,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.375,1069
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.18.11.207,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:16.191,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.18.11.207,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:17.257,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.18.11.207,IpChannelEvent,TcpIpSend,2021-10-09 16:24:16.384,792
104.18.11.207,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:16.462,2864
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\doomed\9682,FileEvent,Delete,2021-10-09 16:24:15.265,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",34.107.221.82,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.740,0
34.107.221.82,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.784,604
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",34.107.221.82,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.784,666
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:12.919,46359
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.7.129,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:10.802,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.7.129,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:16.580,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:10.140,284
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:10.67,37064
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",35.244.247.133,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.916,0
35.244.247.133,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.976,4155
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",35.244.247.133,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.976,3577
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:10.411,3014656
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",FileEvent,Read,2021-10-09 16:24:12.931,4096
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.6.129,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.691,0
104.22.6.129,"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.943,303
"""C:\Program Files\Mozilla Firefox\firefox.exe"" sarvgyan.com
PID:1864",104.22.6.129,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.830,307
