start,end,eventtype,operationtype,time,ref.size
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:08.849,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:11.193,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:11.345,71
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",147.75.95.75,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:24.565,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",147.75.95.75,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:24.597,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",147.75.95.75,IpChannelEvent,TcpIpSend,2021-10-09 16:24:24.597,517
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:16.376,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:17.669,8
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",35.190.2.93,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:20.658,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",35.190.2.93,IpChannelEvent,TcpIpSend,2021-10-09 16:24:20.716,1417
35.190.2.93,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:20.716,19564
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""3756.3.552434868\1378059051"" -childID 2 -isForBrowser -prefsHandle 2800 -prefMapHandle 2796 -prefsLen 9071 -prefMapSize 252743 -jsInit 812 286204 -parentBuildID 20210927210923 -appdir ""C:\Program Files\Mozilla Firefox\browser"" - 3756 ""\\.\pipe\gecko-crash-server-pipe.3756"" 2812 23c3cb88 tab
PID:2056",ProcessEvent,Create,2021-10-09 16:24:11.299,
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:11.340,46359
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:09.237,284
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:09.145,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:11.186,3014656
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",52.84.228.52,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:11.364,0
52.84.228.52,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:11.433,9641
"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",52.84.228.52,IpChannelEvent,TcpIpSend,2021-10-09 16:24:11.433,1102
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:11.345,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:11.348,176
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" rappler.com
PID:3756",FileEvent,Read,2021-10-09 16:24:21.746,37064
