start,end,eventtype,operationtype,time,ref.size
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:09.748,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",103.254.188.158,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:18.410,0
103.254.188.158,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:18.418,5471
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",103.254.188.158,IpChannelEvent,TcpIpSend,2021-10-09 16:24:18.418,1077
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:12.896,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.58,71
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:21.497,8
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.442,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",162.105.129.213,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:30.183,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",162.105.129.213,IpChannelEvent,TcpIpSend,2021-10-09 16:24:30.314,455
162.105.129.213,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:30.378,795
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:19.736,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",111.206.176.78,IpChannelEvent,TcpIpSend,2021-10-09 16:24:19.755,1069
111.206.176.78,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:19.755,11432
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.56,46359
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\A9831EC0C664BE6FC6D73EC33ECAE45BFD8B4ED8,FileEvent,Write,2021-10-09 16:24:20.245,17434
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:10.87,284
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:10.20,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:12.889,3014656
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.63,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.66,176
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,FileEvent,Write,2021-10-09 16:24:24.246,8192
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:21.500,37064
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",182.61.200.109,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:29.235,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",182.61.200.109,IpChannelEvent,TcpIpSend,2021-10-09 16:24:29.248,1368
182.61.200.109,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:29.248,6183
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\DB709267F9FFFD8A4F67779F270E149BF75660EB,FileEvent,Write,2021-10-09 16:24:19.716,3095
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:21.494,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:33.481,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:21.493,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:12.889,2277
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",121.194.10.91,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.985,0
121.194.10.91,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.989,647
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",121.194.10.91,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.989,365
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",58.215.157.250,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:28.58,0
58.215.157.250,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:28.90,8889
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",58.215.157.250,IpChannelEvent,TcpIpSend,2021-10-09 16:24:28.90,1235
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:10.1,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\analytics-track-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.56,559
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:13.130,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:32.98,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:13.129,65536
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\ls-archive.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:10.1,65684
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",34.107.221.82,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.109,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",34.107.221.82,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.151,333
34.107.221.82,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.151,302
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""320.5.2055979134\1905706370"" -parentBuildID 20210927210923 -prefsHandle 3396 -prefMapHandle 3204 -prefsLen 9770 -prefMapSize 252743 -appdir ""C:\Program Files\Mozilla Firefox\browser"" - 320 ""\\.\pipe\gecko-crash-server-pipe.320"" 3412 ccb3c08 rdd
PID:1144",ProcessEvent,Create,2021-10-09 16:24:13.640,
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite-wal,FileEvent,Write,2021-10-09 16:24:10.284,4128
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite-wal,"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",FileEvent,Read,2021-10-09 16:24:21.815,393216
"""C:\Program Files\Mozilla Firefox\firefox.exe"" news12.biz
PID:320",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite-wal,FileEvent,Write,2021-10-09 16:24:12.775,1835920
