start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:27.986,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:17.267,229
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\social-tracking-protection-twitter-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:17.267,32997
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\mozstd-trackwhite-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:27.984,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\mozstd-trackwhite-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:17.264,309221
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:10.145,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",39.106.161.87,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.654,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",39.106.161.87,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:14.82,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",39.106.161.87,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.665,835
39.106.161.87,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.665,3223
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:12.125,906
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:12.131,142
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:13.34,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:17.967,8
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.195,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",111.206.176.78,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.204,1069
111.206.176.78,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.204,11153
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-malware-proto.vlpset,FileEvent,Delete,2021-10-09 16:24:27.980,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-malware-proto.vlpset,FileEvent,Write,2021-10-09 16:24:17.261,131104
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",117.18.237.29,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.735,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",117.18.237.29,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.753,912
117.18.237.29,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.836,1564
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\18E64FFFE781C861CC00B838EF65D0E2B543E535,FileEvent,Write,2021-10-09 16:24:12.94,27241
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:12.127,92718
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:10.496,284
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:10.426,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:12.119,4587520
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",125.76.247.240,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:14.179,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",125.76.247.240,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:14.304,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",125.76.247.240,IpChannelEvent,TcpIpSend,2021-10-09 16:24:14.217,835
125.76.247.240,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:14.217,3221
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:12.99,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:12.102,176
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,FileEvent,Write,2021-10-09 16:24:21.551,8192
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:18.88,37064
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\base-fingerprinting-track-digest256-1.sbstore,FileEvent,Write,2021-10-09 16:24:17.676,4456
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",52.84.228.121,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.769,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",52.84.228.121,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:15.939,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",52.84.228.121,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.854,1064
52.84.228.121,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.854,6475
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\base-cryptomining-track-digest256.vlpset,FileEvent,Delete,2021-10-09 16:24:27.974,0
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\base-cryptomining-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:17.267,2277
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\base-cryptomining-track-digest256.vlpset,FileEvent,Write,2021-10-09 16:24:17.252,2277
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-badbinurl-proto.vlpset,FileEvent,Delete,2021-10-09 16:24:27.979,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing-updating\google4\goog-badbinurl-proto.vlpset,FileEvent,Write,2021-10-09 16:24:17.260,131104
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",121.194.1.40,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.171,0
121.194.1.40,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.175,1099
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",121.194.1.40,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.175,453
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:17.966,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:29.973,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" yinyuetai.com
PID:3680",FileEvent,Read,2021-10-09 16:24:17.966,65536
