start,end,eventtype,operationtype,time,ref.size
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\CertificateRevocation\6921\manifest.json,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:46.329,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\ct_config.pb,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:53.25,16384
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Shortcuts,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:51.496,12388
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-client-side-phishing-detection --cross-origin-webassembly-module-sharing-allowed --display-capture-permissions-policy-allowed --field-trial-handle=1036,3150151387290769000,35205710955100714,131072 --lang=zh-CN --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=6 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=1996 /prefetch:1
PID:3140",ProcessEvent,Create,2021-10-08 17:15:46.434,
C:\Users\jpdz\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\24BD96D5497F70B3F510A6B53CD43F3E_3A89246FB90C5EE6620004F1AE0EB0EA,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:46.761,410
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\shared_proto_db\MANIFEST-000001,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:53.475,32768
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\chrome_shutdown_ms.txt,FileEvent,Delete,2021-10-08 17:15:51.443,0
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\chrome_shutdown_ms.txt,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:51.443,8192
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Extension State\LOG.old~RF317f72.TMP,FileEvent,Delete,2021-10-08 17:15:46.521,0
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\manifest.fingerprint,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://gassssgasss.46s0vlirfx-zqy3jw5qy6kg.p.runcloud.link
PID:3816",FileEvent,Read,2021-10-08 17:15:46.329,8192
