start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\History-journal,FileEvent,Write,2021-10-08 17:15:10.714,57944
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\History-journal,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:20.751,8
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\CertificateRevocation\6921\manifest.json,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:08.447,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\ct_config.pb,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:24.663,16384
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Shortcuts,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:24.613,12388
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\E0968A1E3A40D2582E7FD463BAEB59CD,FileEvent,Write,2021-10-08 17:15:13.813,388
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Code Cache\js\4c6783f4b1361e6b_0,FileEvent,Write,2021-10-08 17:15:14.885,442
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Code Cache\js\44690331f5bb746c_0,FileEvent,Write,2021-10-08 17:15:20.433,536
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Temp\CabF651.tmp,FileEvent,Delete,2021-10-08 17:15:11.409,0
C:\Users\jpdz\AppData\Local\Temp\CabF651.tmp,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:11.408,61400
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Temp\CabF651.tmp,FileEvent,Write,2021-10-08 17:15:11.407,61157
C:\Users\jpdz\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\F0ACCF77CDCBFF39F6191887F6D2D357,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:11.359,1452
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Temp\TarF685.tmp,FileEvent,Delete,2021-10-08 17:15:11.450,0
C:\Users\jpdz\AppData\Local\Temp\TarF685.tmp,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:11.450,161007
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",C:\Users\jpdz\AppData\Local\Temp\TarF685.tmp,FileEvent,Write,2021-10-08 17:15:11.449,226543
C:\Users\jpdz\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\24BD96D5497F70B3F510A6B53CD43F3E_3A89246FB90C5EE6620004F1AE0EB0EA,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" laleggepertutti.it
PID:3024",FileEvent,Read,2021-10-08 17:15:08.794,410
